Movie Name,Movie Detail Link,Directors,Casts
Love & Friendship,https://www.metacritic.com/movie/love-and-friendship,Whit Stillman,"Chloë Sevigny,Conor Lambert,Conor MacNeill,Emma Greenwell,Frank Prendergast,James Fleet,Jemma Redgrave,Jenn Murray,Jordan Waller,Justin Edwards,Kate Beckinsale,Kelly Campbell,Lochlainn O'Mearain,Morfydd Clark,Ross Mac Mahon,Sophie Radermacher,Stephen Fry,Tom Bennett,Xavier Samuel,Chloë Sevigny,Emma Greenwell,Kate Beckinsale,Xavier Samuel"
Particle Fever,https://www.metacritic.com/movie/particle-fever,Mark Levinson,"Albert de Roeck,Andy Cohen,Asmina Arvanitaki,Christophe Clement,David Kaplan,Fabiola Gianotti,James Beacham,Jed Biesiada,Katherine Copic,Kyle Cranmer,Martin Aleksa,Mike Lamont,Monica Dunford,Nima Arkani-Hamed,Savas Dimopoulos"
Tarnation,https://www.metacritic.com/movie/tarnation,Jonathan Caouette,"Adolph Davis,Dagon James,David Leblanc,David Sanin Paz,Greg Ayres,Joshua Williams,Michael Cox,Michael Mouton,Renee Leblanc,Rosemary Davis,Stacey Mowery,Steve Caouette,Vanda Stovall,Vivian Kalinov,Jonathan Caouette"
Microcosmos,https://www.metacritic.com/movie/microcosmos,"Claude Nuridsany,Marie Pérennou","Jacques Perrin,Kristin Scott Thomas"
Murderball,https://www.metacritic.com/movie/murderball,"Dana Adam Shapiro,Henry Alex Rubin","Andy Cohn,Bob Lujano,Christopher Igoe,Dave Willsie,Joe Bishop,Kevin Orr,Scott Hogsett,Joe Soares,Keith Cavill,Mark Zupan"
Life Itself,https://www.metacritic.com/movie/life-itself,"Steve James,Steve James","A.O. Scott,Ava DuVernay,Chaz Ebert,Errol Morris,Gene Siskel,Marlene Iglitzen,Marlene Siskel,Martin Scorsese,Ramin Bahrani,Roger Ebert,Stephen Stanton,Werner Herzog,William Nack,Chaz Ebert,Errol Morris,Gene Siskel,Martin Scorsese,Roger Ebert,Werner Herzog"
The Shape of Water,https://www.metacritic.com/movie/the-shape-of-water,Guillermo del Toro,"Allegra Fulton,Amanda Smith,Cyndy Day,David Hewlett,Doug Jones,Dru Viergever,Evgeny Akimov,Jayden Greig,John Kapelos,Lauren Lee Smith,Madison Ferguson,Martin Roach,Marvin Kaye,Maxine Grossman,Michael Shannon,Michael Stuhlbarg,Morgan Kelly,Nick Searcy,Octavia Spencer,Richard Jenkins,Sally Hawkins,Cyndy Day,David Hewlett,Doug Jones,John Kapelos,Lauren Lee Smith,Michael Shannon,Michael Stuhlbarg,Morgan Kelly,Nick Searcy,Nigel Bennett,Octavia Spencer,Richard Jenkins,Sally Hawkins,Stewart Arnott"
Rewind,https://www.metacritic.com/movie/rewind,Sasha Joseph Neulinger,
Shine,https://www.metacritic.com/movie/shine,Scott Hicks,"Alex Rafalowicz,Chris Haywood,Danielle Cox,Gordon Poole,John Cousins,Justin Braine,Marta Kaczmarek,Nicholas Bell,Noah Taylor,Paul Linkson,Randall Berger,Rebecca Gooden,Sonia Todd,Armin Mueller-Stahl,Geoffrey Rush"
Bisbee '17,https://www.metacritic.com/movie/bisbee-17,Robert Greene,"Annie Graeme-Larkin,Laurie McKenna,Mel Ray,Richard Hodges,Steve Ray,Sue Ray,Aaron Gain,Annie Graeme-Larkin,Benjamin Joel Caron,Charles Bethea,Chris Dietz,Dick Graeme,Doug Graeme,James West,Ken Boe,Mary Ellen Dunlap,Mike Anderson,Richard Graeme Iii"
Grizzly Man,https://www.metacritic.com/movie/grizzly-man,Werner Herzog,"Carol Dexter,David Letterman,Franc G. Fallico,Jewel Palovak,Kathleen Parker,Marc Gaede,Marnie Gaede,Sam Egli,Sven Haakanson Jr.,Val Dexter,Warren Queeney,Werner Herzog,Willy Fulton,Amie Huguenard,Timothy Treadwell"
Adam's Rib,https://www.metacritic.com/movie/adams-rib,George Cukor,"Bonnie Bannon,Charles Bastin,Elizabeth Flournoy,Polly Moran,Will Wright,Clarence Kolb,David Wayne,Emerson Treacy,Eve March,Hope Emerson,Jean Hagen,Judy Holliday,Katharine Hepburn,Spencer Tracy,Tom Ewell"
Gregory Crewdson: Brief Encounters,https://www.metacritic.com/movie/gregory-crewdson-brief-encounters,Ben Shapiro,"Gregory Crewdson,Richard 'Rico' Sands"
